Date,AAPL,AMZN,BA,BAC,CVX,DIS,GOOGL,JNJ,JPM,META,MMM,MSFT,NKE,NVDA,PEP,PFE,PG,TSLA,WMT,XOM
2016-01-04,26.337499618530273,31.84950065612793,140.5,16.43000030517578,88.8499984741211,102.9800033569336,37.97200012207031,100.4800033569336,63.619998931884766,102.22000122070312,122.75919342041016,54.79999923706055,61.52000045776367,0.809249997138977,98.7699966430664,30.313093185424805,78.37000274658203,14.894000053405762,20.48666763305664,77.45999908447266
2016-01-05,25.677499771118164,31.68950080871582,141.07000732421875,16.43000030517578,89.61000061035156,100.9000015258789,38.076499938964844,100.9000015258789,63.72999954223633,102.7300033569336,123.2943115234375,55.04999923706055,62.380001068115234,0.8222500085830688,99.44999694824219,30.531309127807617,78.62000274658203,14.895333290100098,20.97333335876465,78.12000274658203
2016-01-06,25.174999237060547,31.63249969482422,138.8300018310547,16.079999923706055,86.06999969482422,100.36000061035156,37.96649932861328,100.38999938964844,62.810001373291016,102.97000122070312,120.81103515625,54.04999923706055,61.4900016784668,0.7882500290870667,99.4800033569336,29.99051284790039,77.86000061035156,14.602666854858398,21.183332443237305,77.47000122070312
2016-01-07,24.112499237060547,30.39699935913086,133.00999450683594,15.5,83.0199966430664,99.5,37.04999923706055,99.22000122070312,60.27000045776367,97.91999816894531,117.86788940429688,52.16999816894531,59.849998474121094,0.7570000290870667,97.56999969482422,29.791271209716797,77.18000030517578,14.376667022705078,21.676666259765625,76.2300033569336
2016-01-08,24.239999771118164,30.352500915527344,129.99000549316406,15.199999809265137,82.12999725341797,99.25,36.545501708984375,98.16000366210938,58.91999816894531,97.33000183105469,117.466552734375,52.33000183105469,58.869998931884766,0.7407500147819519,97.20999908447266,29.41176414489746,75.97000122070312,14.066666603088379,21.18000030517578,74.69000244140625
2016-01-11,24.63249969482422,30.886999130249023,130.2100067138672,15.3100004196167,80.7699966430664,99.91999816894531,36.653499603271484,97.56999969482422,58.83000183105469,97.51000213623047,117.44147491455078,52.29999923706055,59.54999923706055,0.7419999837875366,97.44000244140625,29.478178024291992,76.66999816894531,13.856666564941406,21.406667709350586,73.69000244140625
2016-01-12,24.989999771118164,30.894500732421875,131.9199981689453,15.3100004196167,82.1500015258789,101.45999908447266,37.266998291015625,98.23999786376953,58.959999084472656,99.37000274658203,117.77591705322266,52.779998779296875,59.939998626708984,0.7544999718666077,97.62000274658203,29.41176414489746,76.51000213623047,13.998000144958496,21.206666946411133,75.19999694824219
2016-01-13,24.34749984741211,29.090499877929688,128.1199951171875,14.899999618530273,81.33000183105469,98.4800033569336,35.97850036621094,97.0199966430664,57.34000015258789,95.44000244140625,115.98662567138672,51.63999938964844,58.779998779296875,0.7315000295639038,96.5,28.814041137695312,75.8499984741211,13.354000091552734,20.639999389648438,75.6500015258789
2016-01-14,24.8799991607666,29.649999618530273,129.1999969482422,14.989999771118164,85.47000122070312,99.11000061035156,36.56949996948242,98.88999938964844,58.20000076293945,98.37000274658203,118.0434799194336,53.11000061035156,58.5099983215332,0.7167500257492065,95.80999755859375,29.516128540039062,76.1500015258789,13.745332717895508,21.020000457763672,79.12000274658203
2016-01-15,24.282499313354492,28.509000778198242,125.62999725341797,14.460000038146973,83.66999816894531,93.9000015258789,35.52450180053711,97.0,57.040000915527344,94.97000122070312,115.96154022216797,50.9900016784668,57.560001373291016,0.6777499914169312,93.93000030517578,29.23149871826172,74.9800033569336,13.666000366210938,20.643333435058594,77.58000183105469
2016-01-19,24.165000915527344,28.724000930786133,126.05999755859375,14.239999771118164,81.51000213623047,93.97000122070312,35.95399856567383,97.5,57.0099983215332,95.26000213623047,115.71070098876953,50.560001373291016,58.31999969482422,0.6832500100135803,95.7699966430664,29.117647171020508,76.7300033569336,13.64799976348877,20.85333251953125,76.4000015258789
2016-01-20,24.197500228881836,28.588499069213867,122.13999938964844,13.6899995803833,78.9800033569336,92.54000091552734,35.928001403808594,95.75,55.5099983215332,94.3499984741211,114.51505279541016,50.790000915527344,59.040000915527344,0.6869999766349792,93.7699966430664,29.089183807373047,75.83000183105469,13.24666690826416,20.280000686645508,73.18000030517578
2016-01-21,24.075000762939453,28.750999450683594,123.4000015258789,13.359999656677246,81.05000305175781,94.0199966430664,36.333499908447266,95.94000244140625,55.25,94.16000366210938,115.18394470214844,50.47999954223633,60.560001373291016,0.6949999928474426,94.47000122070312,29.013282775878906,76.72000122070312,13.33133316040039,20.626667022705078,74.0999984741211
2016-01-22,25.354999542236328,29.819000244140625,124.61000061035156,13.5600004196167,83.54000091552734,96.9000015258789,37.27299880981445,96.75,56.95000076293945,97.94000244140625,116.655517578125,52.290000915527344,60.880001068115234,0.7112500071525574,95.8499984741211,29.136621475219727,77.36000061035156,13.50333309173584,20.89666748046875,76.56999969482422
2016-01-25,24.860000610351562,29.826499938964844,124.01000213623047,12.960000038146973,80.88999938964844,95.29000091552734,36.680999755859375,96.4000015258789,55.65999984741211,97.01000213623047,115.02508544921875,51.790000915527344,60.70000076293945,0.7105000019073486,95.94000244140625,28.937381744384766,76.8499984741211,13.092000007629395,21.149999618530273,73.9800033569336
2016-01-26,24.997499465942383,30.0625,128.00999450683594,13.3100004196167,84.12000274658203,96.2699966430664,36.68949890136719,101.18000030517578,57.08000183105469,97.33999633789062,121.05351257324219,52.16999816894531,61.11000061035156,0.7174999713897705,96.31999969482422,29.09867286682129,78.80999755859375,12.904000282287598,21.333332061767578,76.69999694824219
